aa aa aa(00);coulée de lave
ah ah ah*(00)
ai ai aï
an an an
as as as
au au au
bi bi bi(01);vélocipède
bu bu bu
ac ca ça
ac ca çà
ce ce ce
ci ci ci
de de de
de de dé
do do do
du du du
du du dû
en en en
es es ès
et et et
eu eu eu
ex ex ex(00)
af fa fa
go go go
ah ha ha*;ah
ho ho ho*(01);oh
fi if if
il il il
in in in
ej je je
ak ka ka;(ou kaon) particule élémentaire neutre ou chargée positivement ou négativement
al la la
al la là
el le le
el le lé
il li li
lu lu lu
am ma ma
em me me
im mi mi
mu mu mu;(ou muon) particule élémentaire de la famille des leptons
mu mu mû
an na na*
en ne ne
en ne né
in ni ni
no no nô;drame lyrique musical japonais
nu nu nu
co oc oc
ho oh oh*
mo om om(08);exclamation liturgique constituant un mantra selon la tradition hindoue
no on on
or or or
os os os
ou ou ou
ou ou où
ip pi pi
pu pu pu
er re ré
ir ri ri
ru ru ru
as sa sa
es se se
is si si
su su su
at ta ta
et te te
et te té
tu tu tu
nu un un
su us us
tu ut ut
ev ve vé;cale en forme de V
sv vs vs
uv vu vu
uw wu wu;nom d'un dialecte chinois
ix xi xi
